Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 08:00:19 2014

write_fb:
  file_in:       laser2a0003002.dat
  laser_period:  2a
  track:         0003
  cycle:         002
  file_out:      laser2a0003002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2003
  Month:                   10
  Day:                     21
  Hour:                    23
  Minute:                   4
  Doy:                    294
  record_count:          2793
  non_zero_count:        2780
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   84.662547  257.633493    0.317534    0.959143
   84.663584  257.621119    0.264576    0.578212
   84.664621  257.608726    0.642688    4.018228
   84.665657  257.596299    0.577115    3.401486
   84.666691  257.583853    0.860386    6.066433
   84.667725  257.571387    0.919871    6.626154
   84.668758  257.558904    0.785521    5.362401
   84.669790  257.546406    0.895356    6.395788
   84.670820  257.533889    0.552935    3.174642
   84.671849  257.521351    0.545215    3.102145
   84.672877  257.508791    0.616169    3.769751
   84.673903  257.496203    0.638008    3.975324
   84.674928  257.483596    0.570972    3.344824
   84.675951  257.470969    0.660152    4.183898
   84.676971  257.458323    1.073979    8.077028
   84.677988  257.445656    0.836129    5.839624
   84.679004  257.432976    0.697039    4.531284
   84.680019  257.420287    0.293705    0.737107
   84.681035  257.407594    0.643639    4.029181
   84.682052  257.394901    0.917895    6.609330
   84.683070  257.382207    0.530396    2.964114
   84.684088  257.369513    0.410773    1.838908
   84.685108  257.356821    0.626373    3.867261
   84.686128  257.344129    0.583470    3.463780
   84.687149  257.331444    0.710411    4.658081
   84.688171  257.318770    0.535930    3.016807
   84.689194  257.306112    0.667225    4.252064
   84.690218  257.293483    0.346689    1.236806
   84.691242  257.280869    0.574455    3.379603
   84.692268  257.268268    0.553220    3.179957
   84.693294  257.255681    0.706001    4.617348
   84.694323  257.243110    0.555647    3.203040
   84.695352  257.230544    0.453421    2.241495
   84.696382  257.217978    0.513940    2.810941
   84.697412  257.205405    0.292333    0.726331
   84.698442  257.192811    0.267313    0.584195
   84.699473  257.180211    0.458366    2.288516
   84.700502  257.167607    0.099221    0.216841
   84.701530  257.155003    0.498284    2.664284
   84.702555  257.142408    0.386138    1.609411
   84.703578  257.129806    0.618519    3.795630
   84.704600  257.117192    0.660581    4.191439
   84.705622  257.104562    0.193214    0.422256
   84.706643  257.091906    0.339484    1.171029
   84.707663  257.079229    0.500871    2.689373
   84.708682  257.066530    0.421313    1.941068
   84.709701  257.053805    0.292940    0.733545
   84.710718  257.041049    0.139707    0.305319
   84.711735  257.028269    0.356684    1.333457
   84.712749  257.015466    0.796267    5.468890
   84.713762  257.002640    0.600917    3.631288
   84.714771  256.989782    0.492646    2.612876
   84.715778  256.976912    0.365048    1.412648
   84.716785  256.964037    0.385111    1.601506
   84.717792  256.951168    0.527379    2.940003
   84.718802  256.938321    0.732910    4.873626
   84.719812  256.925480    0.678003    4.357223
   84.720823  256.912645    0.665086    4.235832
   84.721835  256.899814    0.773026    5.251389
   84.722849  256.886984    0.872018    6.182762
   84.723863  256.874159    0.796802    5.475311
   84.724879  256.861336    0.518569    2.857997
   84.725895  256.848516    0.620297    3.815120
   84.726913  256.835691    0.580893    3.444559
